Analyzed file:	C:\Users\Medivh\Desktop\mega3.mp4
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	106 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	107 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	108 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	109 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	110 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	111 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	112 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	113 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	114 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	115 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	116 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	117 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	118 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	119 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	120 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	121 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	122 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	123 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	124 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	125 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	126 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	127 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	128 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	129 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	130 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	131 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	132 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	133 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	134 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	135 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	136 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	137 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	138 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	139 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	140 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	141 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	142 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	143 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	144 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	145 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	146 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	147 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	148 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	149 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	150 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	151 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	152 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	153 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	154 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	155 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	156 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	157 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	158 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	159 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	160 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	161 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	162 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	163 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	164 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	165 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	166 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	167 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	168 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	169 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	170 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	171 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	172 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	173 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	174 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	175 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	176 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	177 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	178 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	179 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	180 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	181 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	182 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	183 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	184 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	185 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	186 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	187 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	188 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	189 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	190 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	191 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	192 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	193 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	194 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	195 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	196 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	197 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	198 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	199 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	200 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	201 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	202 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	203 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	204 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	205 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	206 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	207 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	208 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	209 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	210 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	211 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	212 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	213 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	214 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	215 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	216 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	217 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	218 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	219 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	220 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	221 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	222 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	223 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	224 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	225 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	226 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	227 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	228 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	229 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	230 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	231 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	232 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	233 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	234 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	235 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	236 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	237 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	238 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	239 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	240 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	241 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	242 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	243 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	244 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	245 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	246 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	247 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	248 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	249 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	250 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	251 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	252 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	253 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	254 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	255 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	256 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	257 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	258 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	259 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	260 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [92 x 184 from (567, 200)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [92 x 184 from (567, 200)]
Frame ¹	261 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	262 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	263 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [100 x 201 from (558, 185)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [100 x 201 from (558, 185)]
Frame ¹	264 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [99 x 199 from (556, 186)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [99 x 199 from (556, 186)]
Frame ¹	265 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [97 x 194 from (559, 189)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [97 x 194 from (559, 189)]
Frame ¹	266 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [97 x 194 from (559, 189)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [97 x 194 from (559, 189)]
Frame ¹	267 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [95 x 190 from (565, 192)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [95 x 190 from (565, 192)]
Frame ¹	268 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [102 x 205 from (559, 175)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [102 x 205 from (559, 175)]
Frame ¹	269 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [106 x 212 from (552, 172)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [106 x 212 from (552, 172)]
Frame ¹	270 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [103 x 206 from (554, 174)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [103 x 206 from (554, 174)]
Frame ¹	271 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [116 x 231 from (543, 151)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [116 x 231 from (543, 151)]
Frame ¹	272 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [103 x 205 from (549, 167)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [103 x 205 from (549, 167)]
Frame ¹	273 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [98 x 197 from (550, 170)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [98 x 197 from (550, 170)]
Frame ¹	274 ----------------------
Object's on frame in detect:	2
+Object's ¹: 0
 Coordinate: [147 x 293 from (519, 85)]
+Object's ¹: 1
 Coordinate: [101 x 202 from (547, 158)]
				-----rejected------
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [147 x 293 from (519, 85)]
Frame ¹	275 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	276 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame ¹	277 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [96 x 192 from (544, 154)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [96 x 192 from (544, 154)]
Frame ¹	278 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [101 x 202 from (538, 147)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [101 x 202 from (538, 147)]
Frame ¹	279 ----------------------
Object's on frame in detect:	3
+Object's ¹: 0
 Coordinate: [140 x 279 from (519, 82)]
+Object's ¹: 1
 Coordinate: [100 x 199 from (540, 147)]
+Object's ¹: 2
 Coordinate: [72 x 144 from (423, -15)]
				-----rejected------
Object's on frame in detect_filter:	2
+Object's ¹: 0
 Coordinate: [140 x 279 from (519, 82)]
+Object's ¹: 1
 Coordinate: [72 x 144 from (423, -15)]
Frame ¹	280 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [101 x 202 from (539, 144)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [101 x 202 from (539, 144)]
Frame ¹	281 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [106 x 211 from (537, 137)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [106 x 211 from (537, 137)]
Frame ¹	282 ----------------------
Object's on frame in detect:	1
+Object's ¹: 0
 Coordinate: [105 x 210 from (536, 133)]
Object's on frame in detect_filter:	1
+Object's ¹: 0
 Coordinate: [105 x 210 from (536, 133)]
Frame ¹	283 ----------------------
