Analyzed file:	C:\Users\Medivh\Desktop\640na480MEGa.mp4
Object's on frame in myPersons:	0
Frame ¹	155 ----------------------
Object's on frame in myPersons:	0
Frame ¹	156 ----------------------
Object's on frame in myPersons:	0
Frame ¹	157 ----------------------
Object's on frame in myPersons:	0
Frame ¹	158 ----------------------
Object's on frame in myPersons:	0
Frame ¹	159 ----------------------
Object's on frame in myPersons:	0
Frame ¹	160 ----------------------
Object's on frame in myPersons:	0
Frame ¹	161 ----------------------
Object's on frame in myPersons:	0
Frame ¹	162 ----------------------
Object's on frame in myPersons:	0
Frame ¹	163 ----------------------
Object's on frame in myPersons:	0
Frame ¹	164 ----------------------
Object's on frame in myPersons:	0
Frame ¹	165 ----------------------
Object's on frame in myPersons:	0
Frame ¹	166 ----------------------
Object's on frame in myPersons:	0
Frame ¹	167 ----------------------
Object's on frame in myPersons:	0
Frame ¹	168 ----------------------
Object's on frame in myPersons:	0
Frame ¹	169 ----------------------
Object's on frame in myPersons:	0
Frame ¹	170 ----------------------
Object's on frame in myPersons:	0
Frame ¹	171 ----------------------
Object's on frame in myPersons:	0
Frame ¹	172 ----------------------
Object's on frame in myPersons:	0
Frame ¹	173 ----------------------
Object's on frame in myPersons:	0
Frame ¹	174 ----------------------
Object's on frame in myPersons:	0
Frame ¹	175 ----------------------
Object's on frame in myPersons:	0
Frame ¹	176 ----------------------
Object's on frame in myPersons:	0
Frame ¹	177 ----------------------
Object's on frame in myPersons:	0
Frame ¹	178 ----------------------
Object's on frame in myPersons:	0
Frame ¹	179 ----------------------
Object's on frame in myPersons:	0
Frame ¹	180 ----------------------
Object's on frame in myPersons:	0
Frame ¹	181 ----------------------
Object's on frame in myPersons:	0
Frame ¹	182 ----------------------
Object's on frame in myPersons:	0
Frame ¹	183 ----------------------
Object's on frame in myPersons:	0
Frame ¹	184 ----------------------
Object's on frame in myPersons:	0
Frame ¹	185 ----------------------
Object's on frame in myPersons:	0
Frame ¹	186 ----------------------
Object's on frame in myPersons:	0
Frame ¹	187 ----------------------
Object's on frame in myPersons:	0
Frame ¹	188 ----------------------
Object's on frame in myPersons:	0
Frame ¹	189 ----------------------
Object's on frame in myPersons:	0
Frame ¹	190 ----------------------
Object's on frame in myPersons:	0
Frame ¹	191 ----------------------
Object's on frame in myPersons:	0
Frame ¹	192 ----------------------
Object's on frame in myPersons:	0
Frame ¹	193 ----------------------
Object's on frame in myPersons:	0
Frame ¹	194 ----------------------
Object's on frame in myPersons:	0
Frame ¹	195 ----------------------
Object's on frame in myPersons:	0
Frame ¹	196 ----------------------
Object's on frame in myPersons:	0
Frame ¹	197 ----------------------
Object's on frame in myPersons:	0
Frame ¹	198 ----------------------
Object's on frame in myPersons:	0
Frame ¹	199 ----------------------
Object's on frame in myPersons:	0
Frame ¹	200 ----------------------
Object's on frame in myPersons:	0
Frame ¹	201 ----------------------
Object's on frame in myPersons:	0
Frame ¹	202 ----------------------
Object's on frame in myPersons:	0
Frame ¹	203 ----------------------
Object's on frame in myPersons:	0
Frame ¹	204 ----------------------
Object's on frame in myPersons:	0
Frame ¹	205 ----------------------
Object's on frame in myPersons:	0
Frame ¹	206 ----------------------
Object's on frame in myPersons:	0
Frame ¹	207 ----------------------
Object's on frame in myPersons:	0
Frame ¹	208 ----------------------
Object's on frame in myPersons:	0
Frame ¹	209 ----------------------
Object's on frame in myPersons:	0
Frame ¹	210 ----------------------
Object's on frame in myPersons:	0
Frame ¹	211 ----------------------
Object's on frame in myPersons:	0
Frame ¹	212 ----------------------
Object's on frame in myPersons:	0
Frame ¹	213 ----------------------
Object's on frame in myPersons:	0
Frame ¹	214 ----------------------
Object's on frame in myPersons:	0
Frame ¹	215 ----------------------
Object's on frame in myPersons:	0
Frame ¹	216 ----------------------
Object's on frame in myPersons:	0
Frame ¹	217 ----------------------
Object's on frame in myPersons:	0
Frame ¹	218 ----------------------
Object's on frame in myPersons:	0
Frame ¹	219 ----------------------
Object's on frame in myPersons:	0
Frame ¹	220 ----------------------
Object's on frame in myPersons:	0
Frame ¹	221 ----------------------
Object's on frame in myPersons:	0
Frame ¹	222 ----------------------
Object's on frame in myPersons:	0
Frame ¹	223 ----------------------
Object's on frame in myPersons:	0
Frame ¹	224 ----------------------
Object's on frame in myPersons:	0
Frame ¹	225 ----------------------
Object's on frame in myPersons:	0
Frame ¹	226 ----------------------
Object's on frame in myPersons:	0
Frame ¹	227 ----------------------
Object's on frame in myPersons:	0
Frame ¹	228 ----------------------
Object's on frame in myPersons:	0
Frame ¹	229 ----------------------
Object's on frame in myPersons:	0
Frame ¹	230 ----------------------
Object's on frame in myPersons:	0
Frame ¹	231 ----------------------
Object's on frame in myPersons:	0
Frame ¹	232 ----------------------
Object's on frame in myPersons:	0
Frame ¹	233 ----------------------
Object's on frame in myPersons:	0
Frame ¹	234 ----------------------
Object's on frame in myPersons:	0
Frame ¹	235 ----------------------
Object's on frame in myPersons:	0
Frame ¹	236 ----------------------
Object's on frame in myPersons:	0
Frame ¹	237 ----------------------
Object's on frame in myPersons:	0
Frame ¹	238 ----------------------
Object's on frame in myPersons:	0
Frame ¹	239 ----------------------
Object's on frame in myPersons:	0
Frame ¹	240 ----------------------
Object's on frame in myPersons:	0
Frame ¹	241 ----------------------
Object's on frame in myPersons:	0
Frame ¹	242 ----------------------
Object's on frame in myPersons:	0
Frame ¹	243 ----------------------
Object's on frame in myPersons:	0
Frame ¹	244 ----------------------
Object's on frame in myPersons:	0
Frame ¹	245 ----------------------
Object's on frame in myPersons:	0
Frame ¹	246 ----------------------
Object's on frame in myPersons:	0
Frame ¹	247 ----------------------
Object's on frame in myPersons:	0
Frame ¹	248 ----------------------
Object's on frame in myPersons:	0
Frame ¹	249 ----------------------
Object's on frame in myPersons:	0
Frame ¹	250 ----------------------
Object's on frame in myPersons:	0
Frame ¹	251 ----------------------
Object's on frame in myPersons:	0
Frame ¹	252 ----------------------
Object's on frame in myPersons:	0
Frame ¹	253 ----------------------
Object's on frame in myPersons:	0
Frame ¹	254 ----------------------
Object's on frame in myPersons:	0
Frame ¹	255 ----------------------
Object's on frame in myPersons:	0
Frame ¹	256 ----------------------
Object's on frame in myPersons:	0
Frame ¹	257 ----------------------
Object's on frame in myPersons:	0
Frame ¹	258 ----------------------
Object's on frame in myPersons:	0
Frame ¹	259 ----------------------
Object's on frame in myPersons:	0
Frame ¹	260 ----------------------
Object's on frame in myPersons:	1
Frame ¹	261 ----------------------
Object's on frame in myPersons:	1
Frame ¹	262 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [75 x 151 from (577, 204)]
Frame ¹	263 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [72 x 144 from (578, 204)]
Frame ¹	264 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 147 from (576, 200)]
Frame ¹	265 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 147 from (576, 200)]
Frame ¹	266 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 148 from (574, 198)]
Frame ¹	267 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 149 from (574, 197)]
Frame ¹	268 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [87 x 173 from (566, 178)]
Frame ¹	269 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [90 x 179 from (565, 173)]
Frame ¹	270 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [96 x 191 from (559, 164)]
Frame ¹	271 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [93 x 186 from (557, 167)]
Frame ¹	272 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [97 x 194 from (553, 155)]
Frame ¹	273 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [98 x 196 from (551, 152)]
Frame ¹	274 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [95 x 190 from (548, 152)]
Frame ¹	275 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [95 x 190 from (546, 150)]
Frame ¹	276 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [95 x 190 from (544, 148)]
Frame ¹	277 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [95 x 190 from (542, 146)]
Frame ¹	278 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [95 x 190 from (540, 144)]
Frame ¹	279 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [77 x 153 from (554, 168)]
Frame ¹	280 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [78 x 156 from (554, 165)]
Frame ¹	281 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [80 x 160 from (552, 160)]
Frame ¹	282 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 169 from (548, 153)]
Frame ¹	283 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [92 x 184 from (543, 140)]
Frame ¹	284 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [92 x 184 from (541, 138)]
Frame ¹	285 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [92 x 184 from (539, 136)]
Frame ¹	286 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [92 x 184 from (537, 134)]
Frame ¹	287 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (539, 142)]
Frame ¹	288 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (537, 140)]
Frame ¹	289 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (535, 138)]
Frame ¹	290 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (533, 136)]
Frame ¹	291 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (531, 134)]
Frame ¹	292 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (529, 132)]
Frame ¹	293 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (527, 130)]
Frame ¹	294 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (525, 128)]
Frame ¹	295 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (523, 126)]
Frame ¹	296 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (521, 124)]
Frame ¹	297 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (519, 122)]
Frame ¹	298 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (517, 120)]
Frame ¹	299 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [85 x 170 from (515, 118)]
Frame ¹	300 ----------------------
Object's on frame in myPersons:	0
Frame ¹	301 ----------------------
Object's on frame in myPersons:	0
Frame ¹	302 ----------------------
Object's on frame in myPersons:	0
Frame ¹	303 ----------------------
Object's on frame in myPersons:	0
Frame ¹	304 ----------------------
Object's on frame in myPersons:	0
Frame ¹	305 ----------------------
Object's on frame in myPersons:	2
Frame ¹	306 ----------------------
Object's on frame in myPersons:	2
Frame ¹	307 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [83 x 167 from (145, 45)]
Frame ¹	308 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [79 x 158 from (144, 49)]
Frame ¹	309 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [76 x 151 from (147, 53)]
Frame ¹	310 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 146 from (148, 55)]
Frame ¹	311 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [75 x 150 from (147, 56)]
Frame ¹	312 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [73 x 146 from (148, 58)]
Frame ¹	313 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [71 x 142 from (149, 59)]
Frame ¹	314 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [71 x 142 from (147, 60)]
Frame ¹	315 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [71 x 142 from (145, 61)]
Frame ¹	316 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [71 x 142 from (143, 62)]
Frame ¹	317 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [69 x 138 from (142, 64)]
Frame ¹	318 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [72 x 143 from (140, 66)]
Frame ¹	319 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [83 x 166 from (129, 64)]
Frame ¹	320 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [83 x 166 from (127, 65)]
Frame ¹	321 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [83 x 166 from (125, 66)]
Frame ¹	322 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [73 x 146 from (130, 75)]
Frame ¹	323 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [78 x 156 from (125, 77)]
Frame ¹	324 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [78 x 156 from (123, 78)]
Frame ¹	325 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 149 from (126, 80)]
Frame ¹	326 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 149 from (124, 81)]
Frame ¹	327 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 148 from (119, 83)]
Frame ¹	328 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 148 from (117, 84)]
Frame ¹	329 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [74 x 148 from (115, 85)]
Frame ¹	330 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [72 x 144 from (122, 89)]
Frame ¹	331 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [72 x 144 from (120, 90)]
Frame ¹	332 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [72 x 144 from (118, 91)]
Frame ¹	333 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [72 x 144 from (116, 92)]
Frame ¹	334 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [72 x 144 from (114, 93)]
Frame ¹	335 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [72 x 144 from (112, 94)]
Frame ¹	336 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [72 x 144 from (110, 95)]
Frame ¹	337 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [72 x 144 from (108, 96)]
Frame ¹	338 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [72 x 144 from (106, 97)]
+Object's ¹: 1
 Coordinate: [90 x 180 from (191, 262)]
Frame ¹	339 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [72 x 144 from (104, 98)]
+Object's ¹: 1
 Coordinate: [88 x 176 from (192, 263)]
Frame ¹	340 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [72 x 144 from (102, 99)]
+Object's ¹: 1
 Coordinate: [92 x 183 from (190, 258)]
Frame ¹	341 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [72 x 144 from (100, 100)]
+Object's ¹: 1
 Coordinate: [90 x 181 from (191, 255)]
Frame ¹	342 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [72 x 144 from (98, 101)]
+Object's ¹: 1
 Coordinate: [92 x 185 from (190, 253)]
Frame ¹	343 ----------------------
Object's on frame in myPersons:	1
+Object's ¹: 0
 Coordinate: [88 x 176 from (192, 252)]
Frame ¹	344 ----------------------
Object's on frame in myPersons:	2
+Object's ¹: 0
 Coordinate: [86 x 172 from (193, 250)]
Frame ¹	345 ----------------------
Object's on frame in myPersons:	3
+Object's ¹: 0
 Coordinate: [86 x 172 from (193, 247)]
Frame ¹	346 ----------------------
Object's on frame in myPersons:	3
+Object's ¹: 0
 Coordinate: [81 x 161 from (196, 243)]
+Object's ¹: 1
 Coordinate: [72 x 145 from (519, 63)]
Frame ¹	347 ----------------------
Object's on frame in myPersons:	3
+Object's ¹: 0
 Coordinate: [81 x 162 from (195, 241)]
+Object's ¹: 1
 Coordinate: [74 x 148 from (518, 59)]
+Object's ¹: 2
 Coordinate: [86 x 171 from (116, 249)]
Frame ¹	348 ----------------------
Object's on frame in myPersons:	3
+Object's ¹: 0
 Coordinate: [82 x 164 from (194, 238)]
+Object's ¹: 1
 Coordinate: [74 x 148 from (518, 59)]
+Object's ¹: 2
 Coordinate: [86 x 173 from (117, 247)]
Frame ¹	349 ----------------------
Object's on frame in myPersons:	3
+Object's ¹: 0
 Coordinate: [82 x 164 from (194, 235)]
+Object's ¹: 1
 Coordinate: [73 x 146 from (518, 58)]
+Object's ¹: 2
 Coordinate: [87 x 174 from (121, 241)]
Frame ¹	350 ----------------------
Object's on frame in myPersons:	3
+Object's ¹: 0
 Coordinate: [82 x 164 from (194, 232)]
+Object's ¹: 1
 Coordinate: [73 x 146 from (518, 58)]
+Object's ¹: 2
 Coordinate: [87 x 174 from (122, 236)]
Frame ¹	351 ----------------------
Object's on frame in myPersons:	4
+Object's ¹: 0
 Coordinate: [82 x 164 from (194, 229)]
+Object's ¹: 1
 Coordinate: [73 x 146 from (518, 58)]
+Object's ¹: 2
